13425
=+Vehicle assignments
car0;z19
car1;z2
car2;z4
car3;z20
car4;z12
car5;z23
car6;z2
car7;z0
car8;z9
car9;z20
car10;z5
car11;z15
car12;z17
car13;z18
=+Assigned requests
req0;car10
req2;car6
req3;car6
req4;car8
req6;car10
req7;car13
req11;car8
req13;car4
req15;car2
req16;car12
req17;car3
req22;car10
req23;car13
req24;car10
req26;car2
req28;car8
req30;car12
req31;car11
req32;car12
req33;car12
req35;car6
req37;car3
req38;car7
req40;car8
req43;car5
req45;car4
req46;car10
req47;car5
req48;car7
req49;car0
req50;car1
req51;car7
req52;car12
req53;car1
req54;car3
req55;car4
req56;car1
req57;car2
req58;car4
req59;car7
req60;car10
req61;car0
req63;car13
req64;car13
req65;car13
req66;car1
req67;car0
req70;car3
req71;car11
req72;car3
req74;car9
req78;car6
req79;car1
req80;car11
req81;car5
req83;car5
req84;car9
req85;car11
req86;car5
req87;car4
req88;car7
req91;car3
req92;car8
req96;car2
req98;car9
=+Unassigned requests
req1
req5
req8
req9
req10
req12
req14
req18
req19
req20
req21
req25
req27
req29
req34
req36
req39
req41
req42
req44
req62
req68
req69
req73
req75
req76
req77
req82
req89
req90
req93
req94
req95
req97
req99
